item version times error correct correct_dist
47 3 0 0.0116923706482062 1 1
48 3 0 1.89248631113418 0 0
49 3 0 0.00305610719417589 1 1
50 3 0 1.89248488777418 0 0
51 3 0 0.000000047654542160136 1 1
52 3 0 0.00000134324411836031 1 1
1 4 0 0.00000147680475658818 1 1
2 4 0 0.0000000888923700330689 1 1
3 4 0 1.99988459055237 0 0
4 4 0 0.000000689808536627861 1 1
5 4 0 0.0000000166782091116964 1 1
6 4 0 1.02760939653131 0 1
7 4 0 0.0000112892646044559 1 1
8 4 0 0.0000420681849659814 1 1
9 4 0 1.96871894899099 0 1
10 4 0 0.000019248371008568 1 1
11 4 0 1.99990385837101 0 0
12 4 0 0.0000000128126232492702 1 1
13 4 0 0.00000000923731926229972 1 1
14 4 0 0.0755507778455752 1 1
15 4 0 0.0000000120862690702536 1 1
16 4 0 1.99990023414627 0 0
17 4 0 0.000360354848655225 1 1
18 4 0 0.0140534022767847 1 1
19 4 0 0.0696126154446839 1 1
20 4 0 1.80148825171135 0 0
21 4 0 0.000000167589649459323 1 1
22 4 0 0.537488193069709 0 1
23 4 0 0.000000141837924367799 1 1
24 4 0 0.873187185487065 0 0
25 4 0 0.0000000187359818132985 1 1
26 4 0 0.00000152929398250183 1 1
27 4 0 0.00122843813890284 1 1
28 4 0 0.999558438138903 0 0
29 4 0 0.000000133346432978385 1 1
30 4 0 0.0000664348083675227 1 1
31 4 0 0.000000152757544373824 1 1
32 4 0 1.99988461057754 0 0
33 4 0 0.000000178865504701543 1 1
34 4 0 0.0000646859362216929 1 1
35 4 0 0.0000767757402100064 1 1
36 4 0 0.000238330043633346 1 1
37 4 0 0.000000142965863394044 1 1
38 4 0 0.0000000231766447038458 1 1
39 4 0 0.00000000942601803417709 1 1
40 4 0 0.996496920340187 0 1
41 4 0 0.163342901883921 1 1
42 4 0 0.00496753285817648 1 1
43 4 0 1.29252591781218 0 0
44 4 0 0.151208117812177 1 1
45 4 0 0.00000000846090699973956 1 1
46 4 0 0.0000669513999231491 1 1
47 4 0 1.98114919139992 0 0
48 4 0 1.00047330698089 0 1
49 4 0 0.964515150300894 0 0
50 4 0 1.00047139608089 0 0
51 4 0 0.000000755630379592284 1 1
52 4 0 0.000000210112173961964 1 1
1 5 0 0.951895954532219 0 1
2 5 0 0.00000339141793185846 1 1
3 5 0 1.99987380347793 0 0
4 5 0 0.0000000171318274201069 1 1
5 5 0 0.000000199025122859572 1 1
6 5 0 0.0000000351209028285836 1 1
7 5 0 0.000000118287488024371 1 1
8 5 0 0.0501295711018732 1 1
9 5 0 0.00000145868068186242 1 1
10 5 0 0.0245920842680271 1 1
11 5 0 1.66090008426803 0 0
12 5 0 0.000000670137542569407 1 1
13 5 0 0.000000151246257840027 1 1
14 5 0 0.0128886424485817 1 1
15 5 0 0.000000959050334121824 1 1
16 5 0 1.99983689249033 0 0
17 5 0 0.000000276442621433791 1 1
18 5 0 0.0000481085787683538 1 1
19 5 0 0.0000664740117551668 1 1
20 5 0 0.185575096803278 1 1
21 5 0 0.00000749875436174966 1 1
22 5 0 1.74311671717614 0 0
23 5 0 0.0000550779069225845 1 1
24 5 0 0.0000995041955072314 1 1
25 5 0 0.0000000222582315478321 1 1
26 5 0 0.902014877544671 0 1
27 5 0 0.746613692064116 0 0
28 5 0 0.0196156920641156 1 1
29 5 0 0.98812442133582 0 1
30 5 0 0.0000000210924893602934 1 1
31 5 0 0.0000000556534266621987 1 1
32 5 0 1.99989232669343 0 0
33 5 0 0.0000000438085204873291 1 1
34 5 0 0.00000242139345611385 1 1
35 5 0 0.000000548329534807262 1 1
36 5 0 0.000000110018994148253 1 1
37 5 0 0.00000041639110393571 1 1
38 5 0 0.0000530952169083175 1 1
39 5 0 0.0000000285597995576631 1 1
40 5 0 0.000000654572310575256 1 1
41 5 0 0.000293553483816354 1 1
42 5 0 0.000000842105748227383 1 1
43 5 0 2.05289347877761 0 0
44 5 0 0.0532999607776058 1 1
45 5 0 0.00000114056863368219 1 1
46 5 0 0.000227265450865171 1 1
47 5 0 1.96906606545087 0 0
48 5 0 1.00130358849467 0 1
49 5 0 0.973048814434673 0 0
50 5 0 0.998934154434673 0 0
51 5 0 0.0000187593019990412 1 1
52 5 0 0.00223173477138237 1 1
1 6 0 0.000354049071635457 1 1
2 6 0 0.000337771667106549 1 1
3 6 0 1.99995727366711 0 0
4 6 0 0.00448362252465273 1 1
5 6 0 0.141261639195214 1 1
6 6 0 0.00000161804331322059 1 1
7 6 0 0.737619096897053 0 1
8 6 0 0.943955983537799 0 1
9 6 0 0.00150552859863358 1 1
10 6 0 1.03149335811884 0 1
11 6 0 3.03134988645884 0 0
12 6 0 0.0000316479427259796 1 1
13 6 0 0.0000512858113324743 1 1
14 6 0 0.0000852161939766523 1 1
15 6 0 0.0000130582808015173 1 1
16 6 0 1.9987621222808 0 0
17 6 0 0.190506653808066 1 1
18 6 0 0.0000280001370101366 1 1
19 6 0 0.00410024184520813 1 1
20 6 0 0.0365925519439538 1 1
21 6 0 1.04290299117206 0 1
22 6 0 0.0187888052176201 1 1
23 6 0 0.0000039068167119873 1 1
24 6 0 0.000372414477607614 1 1
25 6 0 0.000454702202633032 1 1
26 6 0 0.960681018533543 0 1
27 6 0 2.07797460989355 0 0
28 6 0 1.08720202989355 0 1
29 6 0 0.000549801630456721 1 1
30 6 0 0.00000685471215913905 1 1
31 6 0 0.000000421913305419742 1 1
32 6 0 1.99988869005331 0 0
33 6 0 0.00000122108792616483 1 1
34 6 0 0.0000174551937505126 1 1
35 6 0 0.00000452578303199186 1 1
36 6 0 0.000000164092429115628 1 1
37 6 0 0.000228429100206392 1 1
38 6 0 0.961542761190422 0 0
39 6 0 0.00806002599695519 1 1
40 6 0 0.666422578229123 0 1
41 6 0 0.000784684756694524 1 1
42 6 0 0.362063962749364 0 0
43 6 0 1.43759829715013 0 0
44 6 0 0.0964182971501281 1 1
45 6 0 0.12448925374524 1 1
46 6 0 0.00057973754746474 1 1
47 6 0 1.99719999754746 0 0
48 6 0 1.16276529729117 0 1
49 6 0 1.16430866329117 0 0
50 6 0 1.16032096729117 0 0
51 6 0 1.8985122731511 0 0
52 6 0 0.000107154455240756 1 1
1 7 0 0.0000621792518056035 1 1
2 7 0 0.0000000146134274243827 1 1
3 7 0 1.99988657385343 0 0
4 7 0 0.0000000532330687015338 1 1
5 7 0 0.0000000234174834722218 1 1
6 7 0 0.0316079339078542 1 1
7 7 0 0.0000000918153763810636 1 1
8 7 0 0.0000897199974164786 1 1
9 7 0 0.0000000113662777872839 1 1
10 7 0 0.903782811625768 0 1
11 7 0 2.90365697294577 0 0
12 7 0 0.421092042519663 0 1
13 7 0 0.00014289344883446 1 1
14 7 0 0.0000000152701753571934 1 1
15 7 0 0.0000000114819432219148 1 1
16 7 0 1.99986055934194 0 0
17 7 0 0.0000000132594352811713 1 1
18 7 0 0.14391009421871 1 1
19 7 0 0.0000000232893747075108 1 1
20 7 0 0.999650925505388 0 0
21 7 0 0.0000000100972602071624 1 1
22 7 0 2.53977649437445 0 0
23 7 0 0.0000000417313901769982 1 1
24 7 0 0.931595116711494 0 0
25 7 0 0.0000000356858306761342 1 1
26 7 0 0.0000000165774538141288 1 1
27 7 0 1.99984981690692 0 0
28 7 0 0.999870900706923 0 1
29 7 0 0.0000514779597374722 1 1
30 7 0 0.0000000339501189139188 1 1
31 7 0 0.00000122523711483475 1 1
32 7 0 1.99991274907711 0 0
33 7 0 0.000000504373810569289 1 1
34 7 0 0.507834410271261 0 1
35 7 0 0.0115111671752806 1 1
36 7 0 0.0000000124289354820841 1 1
37 7 0 0.000000025852745319996 1 1
38 7 0 0.0388533027751967 1 1
39 7 0 0.0000000209009198789572 1 1
40 7 0 0.0000000390433078250264 1 1
41 7 0 0.0000000122957989714437 1 1
42 7 0 1.73692748325548 0 1
43 7 0 1.20551823854891 0 0
44 7 0 0.227808238548912 1 1
45 7 0 0.000000565196731347426 1 1
46 7 0 0.640411043460172 0 0
47 7 0 0.380663043460172 1 1
48 7 0 2.01829452358312 0 0
49 7 0 0.0188063759831247 1 1
50 7 0 2.01833178792312 0 0
51 7 0 0.968701626142353 0 0
52 7 0 0.000143349034597314 1 1
1 8 0 0.00000155924508216951 1 1
2 8 0 0.0000195964527219552 1 1
3 8 0 1.99080709045272 0 0
4 8 0 0.0000000326892437450532 1 1
5 8 0 0.000074709776677093 1 1
6 8 0 0.00000614384895967309 1 1
7 8 0 0.000000785393189088139 1 1
8 8 0 0.219325811622292 1 1
9 8 0 0.000000267192733315 1 1
10 8 0 0.897622191409312 0 1
11 8 0 2.89738898480931 0 0
12 8 0 0.0118123520052925 1 1
13 8 0 0.000000198875472716093 1 1
14 8 0 0.0114427209375024 1 1
15 8 0 0.00000314042350588285 1 1
16 8 0 1.99979282262351 0 0
17 8 0 0.0000141791954854314 1 1
18 8 0 0.0698072413241929 1 1
19 8 0 0.916437506664427 0 1
20 8 0 0.00330229309262719 1 1
21 8 0 0.000217994361290547 1 1
22 8 0 1.9990468060546 0 0
23 8 0 0.0123314578428082 1 1
24 8 0 0.997054734495833 0 1
25 8 0 1.43387118095598 0 1
26 8 0 0.000703337406978866 1 1
27 8 0 0.0777246022401351 1 1
28 8 0 0.520142602240135 0 0
29 8 0 0.87671684113597 0 1
30 8 0 0.000000695643055435452 1 1
31 8 0 0.00512185606777785 1 1
32 8 0 2.00493202376778 0 0
33 8 0 0.189544455115814 1 1
34 8 0 0.00000383852027116646 1 1
35 8 0 0.000000032139848120134 1 1
36 8 0 0.0000000194267755155182 1 1
37 8 0 0.000000353997460234437 1 1
38 8 0 0.000000198691777677008 1 1
39 8 0 0.000000062473663645678 1 1
40 8 0 0.000000536919255624107 1 1
41 8 0 0.00000537644148740038 1 1
42 8 0 1.00823817704979 0 0
43 8 0 0.965270422604273 0 1
44 8 0 0.997904662604273 0 0
45 8 0 0.0000349698325054942 1 1
46 8 0 0.000293231791222483 1 1
47 8 0 1.99991778483122 0 0
48 8 0 1.43223885615324 0 0
49 8 0 0.117340380353242 1 1
50 8 0 1.43223614279324 0 0
51 8 0 1.91995412236078 0 0
52 8 0 0.0779512917914632 1 1
1 9 0 0.000000486976549217873 1 1
2 9 0 0.0000000507774578931054 1 1
3 9 0 1.99991660845746 0 0
4 9 0 0.00000000886194551844609 1 1
5 9 0 0.000222942486160359 1 1
6 9 0 0.0000000114299208553979 1 1
7 9 0 0.0000031997135131694 1 1
8 9 0 0.0000000606347329247444 1 1
9 9 0 0.104413016854681 1 1
10 9 0 0.0000000188078896057619 1 1
11 9 0 1.99987992940789 0 0
12 9 0 0.0025220584839721 1 1
13 9 0 0.00000878980810682446 1 1
14 9 0 0.00000000992551157001086 1 1
15 9 0 0.00000000861600271951563 1 1
16 9 0 1.999894412236 0 0
17 9 0 0.000000134403821866336 1 1
18 9 0 0.000000152323344993361 1 1
19 9 0 0.0000000902199060425314 1 1
20 9 0 0.950780115284112 0 0
21 9 0 0.000000799418578866523 1 1
22 9 0 0.000068802696296973 1 1
23 9 0 0.00272776371849092 1 1
24 9 0 0.0000000139412228289611 1 1
25 9 0 0.000000157126424286716 1 1
26 9 0 0.206783089173975 1 1
27 9 0 0.000368755878541381 1 1
28 9 0 0.961964755878541 0 0
29 9 0 0.0000213147962916263 1 1
30 9 0 0.0000000112817271396282 1 1
31 9 0 0.000000269132875183644 1 1
32 9 0 1.99989080731288 0 0
33 9 0 0.0000000230339147999644 1 1
34 9 0 0.0000000686991122580184 1 1
35 9 0 0.0000000159111563207317 1 1
36 9 0 0.00000289692802280992 1 1
37 9 0 0.0000000305546692122526 1 1
38 9 0 0.00000000697639829556994 1 1
39 9 0 0.00000000957065300738083 1 1
40 9 0 0.00000000845652852451296 1 1
41 9 0 0.000000129823116503454 1 1
42 9 0 0.00000487584812876453 1 1
43 9 0 0.745409634317613 0 1
44 9 0 1.01795163431761 0 0
45 9 0 0.00000000925868071830595 1 1
46 9 0 1.99943370639389 0 0
47 9 0 0.0000000523938892791843 1 1
48 9 0 1.91947569602703 0 0
49 9 0 0.00177714740703045 1 1
50 9 0 1.91947243378703 0 0
51 9 0 0.000241406192549556 1 1
52 9 0 0.0000000080291378915161 1 1
1 10 0 0.000000143915047985343 1 1
2 10 0 0.000000412688955774666 1 1
3 10 0 1.99991890940896 0 0
4 10 0 0.00000000999663305171149 1 1
5 10 0 0.00000351323513341894 1 1
6 10 0 0.0000000503463156288233 1 1
7 10 0 0.00186187096580579 1 1
8 10 0 1.98223652775854 0 1
9 10 0 0.0000051601298448387 1 1
10 10 0 0.984839690722159 0 1
11 10 0 2.98438357950216 0 0
12 10 0 0.00712987436278805 1 1
13 10 0 0.0000000472677188514751 1 1
14 10 0 0.0000297854988114549 1 1
15 10 0 0.00000000977089989357826 1 1
16 10 0 1.9998938987909 0 0
17 10 0 0.0577743838342699 1 1
18 10 0 0.000661579993454865 1 1
19 10 0 0.000073330139895248 1 1
20 10 0 1.89474580489224 0 0
21 10 0 0.0000000143431586018443 1 1
22 10 0 0.000267107347503745 1 1
23 10 0 0.00000000703322979067533 1 1
24 10 0 0.0000000313935457949435 1 1
25 10 0 0.000000532658654795163 1 1
26 10 0 0.0188124829254044 1 1
27 10 0 0.000330203162239885 1 1
28 10 0 1.00005220316224 0 0
29 10 0 0.000371218136356634 1 1
30 10 0 0.419421677157341 0 1
31 10 0 0.000000180444615380121 1 1
32 10 0 1.99991145922462 0 0
33 10 0 0.000304685997435179 1 1
34 10 0 0.0000000211657974665618 1 1
35 10 0 0.000000157236827142373 1 1
36 10 0 0.0000000116137420108018 1 1
37 10 0 0.000000782083740369809 1 1
38 10 0 0.00000000778379674861147 1 1
39 10 0 0.000000103738313905762 1 1
40 10 0 0.000000012142600652478 1 1
41 10 0 0.0000000703117577262167 1 1
42 10 0 0.000000141325121071468 1 1
43 10 0 0.245784807911332 1 1
44 10 0 1.23195100791133 0 0
45 10 0 0.00199715781367348 1 1
46 10 0 0.998390943199659 0 1
47 10 0 0.999860520399659 0 0
48 10 0 2.05014115914342 0 0
49 10 0 0.469788673503424 1 1
50 10 0 1.40678667350342 0 0
51 10 0 0.229055341289187 1 1
52 10 0 0.374870164939272 0 1
1 11 0 0.00000679726469376122 1 1
2 11 0 0.0000000690213492518264 1 1
3 11 0 1.99988862154135 0 0
4 11 0 0.0000765888855599582 1 1
5 11 0 0.0000000399320645041242 1 1
6 11 0 0.0000000427132116818048 1 1
7 11 0 0.000000554706061265097 1 1
8 11 0 0.000000338431989075449 1 1
9 11 0 0.0485338792215432 1 1
10 11 0 0.0385685671148287 1 1
11 11 0 1.64578912023483 0 0
12 11 0 0.0000000088548494644346 1 1
13 11 0 0.0000000113298209009968 1 1
14 11 0 0.0000169476778204215 1 1
15 11 0 0.00000000909011052082702 1 1
16 11 0 1.99987987925011 0 0
17 11 0 0.00000000941748070731734 1 1
18 11 0 0.000188602631922974 1 1
19 11 0 0.000000022044748089805 1 1
20 11 0 0.905148958390419 0 1
21 11 0 0.00000242249328042038 1 1
22 11 0 0.99988507465579 0 1
23 11 0 0.000000323235151714624 1 1
24 11 0 1.00005739070012 0 1
25 11 0 0.00000000861986119977894 1 1
26 11 0 0.0000000149543991450707 1 1
27 11 0 1.03054107480431 0 0
28 11 0 0.0320370228043116 1 1
29 11 0 0.799515013535535 0 1
30 11 0 0.000000014629598216231 1 1
31 11 0 0.0000000128615729092302 1 1
32 11 0 1.99991654618157 0 0
33 11 0 0.0000000110832468534212 1 1
34 11 0 0.0000000517708799784116 1 1
35 11 0 0.0000102533407609384 1 1
36 11 0 0.0000000168038350829557 1 1
37 11 0 0.00000006620101120927 1 1
38 11 0 0.000000155306491135973 1 1
39 11 0 0.0000000102717300502007 1 1
40 11 0 0.00000160720455417839 1 1
41 11 0 0.0000000477780139741433 1 1
42 11 0 0.0000124347964167223 1 1
43 11 0 0.00000323362568069126 1 1
44 11 0 1.99535185362568 0 0
45 11 0 0.0000000126171156596802 1 1
46 11 0 0.0000000246968450192622 1 1
47 11 0 1.99987572263685 0 0
48 11 0 1.00002666675127 0 1
49 11 0 0.994924890651266 0 0
50 11 0 0.999415320651267 0 0
51 11 0 0.0000000323407743924184 1 1
52 11 0 1.99603490918149 0 1
1 12 0 0.911995210006133 0 1
2 12 0 0.0000000368001364322246 1 1
3 12 0 1.99988208760014 0 0
4 12 0 0.0000000132365392641342 1 1
5 12 0 0.0233039796584322 1 1
6 12 0 0.000867722180775152 1 1
7 12 0 0.0000000179179230493412 1 1
8 12 0 0.000000512502595192216 1 1
9 12 0 0.000000012992906588483 1 1
10 12 0 0.501523746192559 0 1
11 12 0 1.06852574619256 0 0
12 12 0 0.0000000511555292309269 1 1
13 12 0 0.0000000113352332589906 1 1
14 12 0 0.0736851151915023 1 1
15 12 0 0.00000000690017169741299 1 1
16 12 0 1.99988653268017 0 0
17 12 0 0.0000324450692394372 1 1
18 12 0 0.00000019487220200985 1 1
19 12 0 0.000000109547485679113 1 1
20 12 0 0.00000250743945406308 1 1
21 12 0 0.000000104576627756591 1 1
22 12 0 0.00354338309561605 1 1
23 12 0 0.0000944649096628493 1 1
24 12 0 0.00384213194287304 1 1
25 12 0 0.0000000309319360628499 1 1
26 12 0 0.00000109162554347675 1 1
27 12 0 0.658052423388612 0 0
28 12 0 0.0472244233886123 1 1
29 12 0 0.00000114569275840738 1 1
30 12 0 0.0000000630830571945798 1 1
31 12 0 0.00000115966300189838 1 1
32 12 0 1.997620399663 0 0
33 12 0 0.0000159531518717087 1 1
34 12 0 0.0000219903468552354 1 1
35 12 0 0.0000000544783696209871 1 1
36 12 0 0.000000010588581346309 1 1
37 12 0 0.00000260902789001739 1 1
38 12 0 0.0000000152850895040337 1 1
39 12 0 0.0000000707296488581855 1 1
40 12 0 0.0000000178646576637887 1 1
41 12 0 0.000000124170000581002 1 1
42 12 0 0.719991491040362 0 0
43 12 0 0.013315572180187 1 1
44 12 0 1.78228265018019 0 0
45 12 0 0.00000000809909379676858 1 1
46 12 0 1.99481625342602 0 0
47 12 0 0.0000068334260164391 1 1
48 12 0 1.00001941020444 0 1
49 12 0 0.999218792104445 0 0
50 12 0 1.00002414614444 0 0
51 12 0 0.000000210022288180351 1 1
52 12 0 0.0000788466423450424 1 1
1 13 0 0.000000011346853459016 1 1
2 13 0 0.0000000586203005751599 1 1
3 13 0 1.9996279716003 0 0
4 13 0 0.000000154385301105956 1 1
5 13 0 0.0000000265846275607712 1 1
6 13 0 0.000000137618986031569 1 1
7 13 0 0.00000306156047350927 1 1
8 13 0 1.99623346367748 0 1
9 13 0 0.000000353115130685929 1 1
10 13 0 0.0000577370792922022 1 1
11 13 0 1.99995739911929 0 0
12 13 0 0.0000302363629453711 1 1
13 13 0 0.0000441295141314513 1 1
14 13 0 0.000718577179449505 1 1
15 13 0 0.0000000106756807046312 1 1
16 13 0 1.99987174159568 0 0
17 13 0 0.0000000760138426009951 1 1
18 13 0 0.0000000868178784435064 1 1
19 13 0 0.00000644654970942566 1 1
20 13 0 0.00710550056834109 1 1
21 13 0 0.0000000225560088704577 1 1
22 13 0 0.896644709054238 0 1
23 13 0 0.00000000899253185010971 1 1
24 13 0 0.00000000743215969593132 1 1
25 13 0 0.990669941649669 0 1
26 13 0 0.00000967927445064196 1 1
27 13 0 0.00221764510825222 1 1
28 13 0 0.977849645108252 0 0
29 13 0 0.0000564709910436016 1 1
30 13 0 0.0000000192449895708154 1 1
31 13 0 0.00000201160596277901 1 1
32 13 0 1.99974873692596 0 0
33 13 0 0.00100381390644215 1 1
34 13 0 1.02398550649261 0 1
35 13 0 0.000000129030775345881 1 1
36 13 0 0.000000273472669577424 1 1
37 13 0 0.000000178568340340546 1 1
38 13 0 0.00000179654735680423 1 1
39 13 0 0.0000000347556543344477 1 1
40 13 0 0.0000000241621072737936 1 1
41 13 0 0.000000018930758677525 1 1
42 13 0 0.000000104471003416704 1 1
43 13 0 1.02297865097071 0 1
44 13 0 0.709904650970714 0 0
45 13 0 0.0000108422287322641 1 1
46 13 0 0.026211354503833 1 1
47 13 0 2.02496165908383 0 0
48 13 0 1.08314183152782 0 1
49 13 0 0.506441505807816 0 0
50 13 0 1.08294502780782 0 0
51 13 0 0.000000596692592961192 1 1
52 13 0 0.00031740616734662 1 1
1 14 0 0.000914340329991216 1 1
2 14 0 0.0000000287963138719445 1 1
3 14 0 1.99974458535631 0 0
4 14 0 0.00000107938429869042 1 1
5 14 0 0.00000000797402532890076 1 1
6 14 0 0.0000000303669931007796 1 1
7 14 0 0.00000000810519374072185 1 1
8 14 0 0.000364525768455602 1 1
9 14 0 0.00788508825834097 1 1
10 14 0 0.000000146818220350235 1 1
11 14 0 1.99985665187822 0 0
12 14 0 0.00000000961651486012779 1 1
13 14 0 0.00000000707322005068210 1 1
14 14 0 0.000000011363902031574 1 1
15 14 0 0.0000000216553840947061 1 1
16 14 0 1.99988445929538 0 0
17 14 0 0.00000461991781237569 1 1
18 14 0 0.0000000121251703829903 1 1
19 14 0 0.0000000148306572808031 1 1
20 14 0 0.99914622535114 0 1
21 14 0 0.0000000085540514970278 1 1
22 14 0 0.0011493228698502 1 1
23 14 0 0.00000000791450726981706 1 1
24 14 0 0.0017398442560175 1 1
25 14 0 0.00000000643305810735931 1 1
26 14 0 0.00000119989617137081 1 1
27 14 0 0.225785588286938 1 1
28 14 0 1.22566958828694 0 0
29 14 0 0.0000000149398177449295 1 1
30 14 0 0.00000000691550196368846 1 1
31 14 0 0.000000777127912558384 1 1
32 14 0 1.99986529892791 0 0
33 14 0 0.00000000768665781974393 1 1
34 14 0 0.000000684205864769553 1 1
35 14 0 0.00000156133461969736 1 1
36 14 0 0.00000000737155593265624 1 1
37 14 0 0.323291191395947 0 1
38 14 0 0.0000000941055943500589 1 1
39 14 0 0.000000155822848238319 1 1
40 14 0 0.00000000611852296649472 1 1
41 14 0 0.00000000490200567343212 1 1
42 14 0 0.00959482800857054 1 1
