Word,version,correct,cee,Consistency,Frequency
worm,2,100,0.001244994,EX,L
write,2,100,0.001011081,RC,H
are,3,100,0.001109031,EX,H
beam,3,100,0.001506267,RC,L
best,3,100,0.001217881,RC,H
big,3,100,0.001151569,RC,H
both,3,100,0.001433842,EX,H
bowl,3,100,0.001165475,EX,L
break,3,100,0.002525875,EX,H
broad,3,100,0.001719741,EX,L
broke,3,100,0.001301921,RC,L
bus,3,100,0.001169605,RC,L
bush,3,100,0.002016098,EX,L
came,3,100,0.001101546,RC,H
choose,3,100,0.004986959,EX,H
class,3,100,0.001787226,RC,H
come,3,100,0.001625332,EX,H
dark,3,100,0.001271139,RC,H
deaf,3,100,0.002020358,EX,L
deed,3,100,0.00108953,RC,L
did,3,100,0.001072445,RC,H
do,3,100,0.001858431,EX,H
does,3,100,0.003340323,EX,H
doll,3,100,0.001514169,EX,L
done,3,100,0.001504295,EX,H
dots,3,100,0.002047605,RC,L
fact,3,100,0.001371591,RC,H
fade,3,100,0.001354616,RC,L
float,3,100,0.0013314,RC,L
flood,3,100,0.001514145,EX,L
foot,3,100,0.004413786,EX,H
give,3,100,0.001568899,EX,H
got,3,100,0.001256563,RC,H
grape,3,100,0.00131948,RC,L
great,3,100,0.001403214,EX,H
gross,3,100,0.001286725,EX,L
group,3,100,0.001380637,RC,H
have,3,100,0.001224721,EX,H
him,3,100,0.001065598,RC,H
lose,3,100,0.1398094,EX,L
lunch,3,100,0.001193654,RC,L
main,3,100,0.001094768,RC,H
move,3,100,0.00138852,EX,H
out,3,100,0.000929427,RC,H
page,3,100,0.001104248,RC,H
pear,3,100,0.00145336,EX,L
peel,3,100,0.001067387,RC,L
phase,3,100,0.001369844,EX,L
pint,3,100,0.001266713,EX,L
pitch,3,100,0.001064726,RC,L
place,3,100,0.001264596,RC,H
plow,3,100,0.03098996,EX,L
pull,3,100,0.001126303,EX,H
pump,3,100,0.001218302,RC,L
put,3,100,0.001142397,EX,H
ripe,3,100,0.001158263,RC,L
rouse,3,100,0.0273417,EX,L
said,3,100,0.001292193,EX,H
sank,3,100,0.001233775,RC,L
says,3,100,0.002628585,EX,H
see,3,100,0.00101143,RC,H
sew,3,100,0.000950733,EX,L
shall,3,100,0.001331024,EX,H
shoe,3,100,0.87233,EX,L
slam,3,100,0.001208935,RC,L
slip,3,100,0.001179216,RC,L
