nonword,version,correct,cee
bort,7,100,0.0014
brobe,7,100,0.0031
cath,7,100,0.2783
cobe,7,100,0.0013
dold,7,0,0.93
doon,7,100,0.0017
dore,7,100,0.0028
dreed,7,100,0.0013
feal,7,100,0.0011
gode,7,100,0.0011
grool,7,100,0.017
hean,7,100,0.0013
heef,7,0,5.6839
hode,7,100,0.0011
hoil,7,0,3.2764
lail,7,100,0.0011
lole,7,100,3.0321
meak,7,100,0.001
moop,7,100,0.0014
mune,7,0,16.6412
nust,7,100,0.0257
peet,7,100,0.0012
pilt,7,100,0.006
plore,7,100,0.0029
pode,7,100,0.0016
pold,7,100,0.0017
prain,7,100,0.0012
sheed,7,100,0.0011
soad,7,100,0.0168
speet,7,100,0.0013
steet,7,100,0.3004
suff,7,100,0.0013
sust,7,0,8.5089
sweal,7,100,0.1418
taze,7,100,0.0086
weat,7,100,0.0351
wosh,7,100,0.0202
wote,7,100,0.9183
wuff,7,100,0.0118
beed,8,100,0.0149
beld,8,100,0.0114
bink,8,100,0.0016
bleam,8,0,4.6567
bort,8,100,0.0023
brobe,8,100,0.0024
cath,8,0,2.9666
cobe,8,100,0.0013
dold,8,0,0.8047
doon,8,100,0.0027
dore,8,100,0.0012
dreed,8,100,0.0097
feal,8,100,0.0014
gode,8,100,0.0014
grool,8,100,0.4563
hean,8,100,0.0973
heef,8,100,0.0063
hode,8,100,0.0188
hoil,8,0,19.8038
lail,8,100,0.08
lole,8,0,2.1832
meak,8,0,3.5444
moop,8,100,0.044
mune,8,100,0.0105
nust,8,0,5.8409
peet,8,100,0.0013
pilt,8,100,0.0018
plore,8,100,0.0015
pode,8,100,0.0024
pold,8,100,0.0018
prain,8,100,0.0014
sheed,8,100,0.0029
soad,8,100,0.0018
speet,8,100,0.0015
steet,8,100,0.0013
suff,8,100,0.0065
sust,8,0,8.0245
sweal,8,100,0.0077
taze,8,100,0.0319
weat,8,100,0.0198
wosh,8,100,0.0025
wote,8,100,0.0013
wuff,8,100,0.0091
beed,9,100,0.0013
beld,9,100,0.0014
bink,9,100,0.0012
bleam,9,100,0.0797
bort,9,100,0.0013
brobe,9,100,0.5266
cath,9,100,0.0061
cobe,9,0,2.0314
dold,9,100,0.0013
doon,9,100,0.0131
dore,9,100,0.0011
dreed,9,100,0.0012
feal,9,100,0.0011
gode,9,100,0.0019
grool,9,100,0.0039
hean,9,100,0.0014
heef,9,100,0.0225
hode,9,100,0.0013
hoil,9,100,0.1075
lail,9,100,4.4689
lole,9,100,0.0011
meak,9,100,0.0013
moop,9,100,0.0923
