simulation,nw
1,65.12
2,61.4
3,53.49
4,54.88
5,64.65
6,44.65
7,50.23
8,55.81
9,75.35
10,41.4
11,60.93
12,60
13,70.7
14,51.63
15,57.21
16,60.93
17,66.51
18,53.49
19,53.02
20,44.19
