item	word	wl	OrthN	phonetic
1073	guy	3	13	gI
1074	gym	3	11	jim
1075	gyp	3	10	jip
1076	hack	4	20	h@k
1077	had	3	23	h@d
1078	hag	3	23	h@g
1079	hail	4	21	hAl
1080	hair	4	11	hAr
1081	hale	4	24	hAl
1082	half	4	11	h@f
1083	hall	4	23	hol
1084	halt	4	14	holt
1085	halve	5	10	h@v
1086	ham	3	21	h@m
1087	hand	4	15	h@nd
1088	hang	4	19	h@N
1089	hank	4	19	h@Nk
1090	hard	4	19	hard
1091	hare	4	26	hAr
1092	hark	4	20	hark
1093	harm	4	14	harm
1094	harp	4	14	harp
1095	harsh	5	8	harS
1096	hart	4	20	hart
1097	has	3	22	h@z
1098	hash	4	19	h@S
1099	hasp	4	12	h@sp
1100	haste	5	12	hAst
1101	hat	3	25	h@t
1102	hatch	5	14	h@C
1103	hate	4	20	hAt
1104	hath	4	14	h@T
1105	haul	4	9	hol
1106	haunt	5	10	hont
1107	have	4	19	h@v
1108	haw	3	22	ho
1109	hawk	4	10	hok
1110	hay	3	26	hA
1111	haze	4	17	hAz
1112	head	4	17	hed
1113	heal	4	20	hEl
1114	health	6	9	helT
1115	heap	4	14	hEp
1116	hear	4	23	hEr
1117	heard	5	9	hurd
1118	hearse	6	8	hurs
1119	heart	5	8	hart
1120	hearth	6	9	harT
1121	heat	4	17	hEt
1122	heave	5	9	hEv
1123	heck	4	14	hek
1124	hedge	5	9	hej
1125	heed	4	17	hEd
1126	heel	4	14	hEl
1127	height	6	8	hIt
1128	heir	4	9	Ar
1129	held	4	16	held
1130	hell	4	24	hel
1131	helm	4	10	helm
1132	help	4	13	help
1133	hem	3	18	hem
1134	hen	3	22	hen
1135	hence	5	8	hens
1136	her	3	12	hur
1137	herb	4	11	urb
1138	herd	4	14	hurd
1139	here	4	14	hEr
1140	hers	4	10	hurs
1141	hex	3	16	heks
1142	hey	3	16	hA
1143	hick	4	18	hik
1144	hid	3	18	hid
1145	hide	4	16	hId
1146	high	4	9	hI
1147	hike	4	15	hIk
1148	hill	4	21	hil
1149	hilt	4	17	hilt
1150	him	3	18	him
1151	hind	4	14	hInd
1152	hinge	5	8	hinj
1153	hint	4	15	hint
1154	hip	3	21	hip
1155	hire	4	16	hIr
1156	his	3	12	hiz
1157	hiss	4	10	his
1158	hit	3	23	hit
1159	hitch	5	12	hiC
1160	hive	4	15	hIv
1161	hoarse	6	9	hOrs
1162	hob	3	21	hab
1163	hoc	3	13	hak
1164	hoe	3	19	hO
1165	hog	3	21	hog
1166	hoist	5	9	hYst
1167	hold	4	17	hOld
1168	hole	4	19	hOl
1169	home	4	16	hOm
1170	hone	4	19	hOn
1171	hooch	5	7	hUC
1172	hood	4	16	hud
1173	hoof	4	12	huf
1174	hook	4	17	huk
1175	hoop	4	13	hUp
1176	hoot	4	19	hUt
1177	hop	3	25	hap
1178	hope	4	19	hOp
1179	hops	4	9	haps
1180	horn	4	13	hOrn
1181	horse	5	8	hOrs
1182	hose	4	17	hOz
1183	host	4	14	hOst
1184	hot	3	26	hat
1185	hound	5	12	hWnd
1186	hour	4	13	Wr
1187	how	3	22	hW
1188	howl	4	11	hWl
1189	hub	3	19	h^b
1190	huck	4	20	h^k
1191	hue	3	18	hyU
1192	huff	4	11	h^f
1193	hug	3	21	h^g
1194	huge	4	7	hyUj
1195	huh	3	12	h^
1196	hulk	4	12	h^lk
1197	hull	4	20	h^l
1198	hum	3	21	h^m
1199	hump	4	13	h^mp
1200	hunch	5	11	h^nC
1201	hung	4	14	h^N
1202	hunk	4	19	h^Nk
1203	hunt	4	15	h^nt
1204	hurl	4	11	hurl
1205	hurt	4	11	hurt
1206	hush	4	14	h^S
1207	hut	3	23	h^t
1208	hymn	4	7	him
1209	ice	3	9	Is
1210	ill	3	8	il
1211	inch	4	8	inC
1212	ink	3	8	iNk
1213	inn	3	8	in
1214	ire	3	10	Ir
1215	isle	4	7	Il
1216	itch	4	8	iC
1217	its	3	7	its
1218	jab	3	18	j@b
1219	jack	4	15	j@k
1220	jade	4	12	jAd
1221	jag	3	23	j@g
1222	jail	4	18	jAl
1223	jam	3	17	j@m
1224	jape	4	13	jAp
1225	jar	3	20	jar
1226	jaw	3	21	jo
1227	jay	3	25	jA
1228	jays	4	12	jAz
1229	jazz	4	7	j@z
1230	jean	4	12	jEn
1231	jeans	5	7	jEnz
1232	jeep	4	14	jEp
1233	jeer	4	13	jEr
1234	jell	4	16	jel
1235	jerk	4	8	jurk
1236	jest	4	17	jest
1237	jet	3	20	jet
1238	jew	3	15	jU
1239	jig	3	18	jig
1240	jilt	4	15	jilt
1241	jinx	4	7	jiNks
1242	jive	4	11	jIv
1243	job	3	18	jab
1244	jock	4	14	jak
1245	jog	3	19	jag
1246	join	4	9	jYn
1247	joint	5	8	jYnt
1248	joke	4	12	jOk
1249	jolt	4	11	jOlt
1250	jot	3	21	jat
1251	joust	5	7	jWst
1252	jowl	4	11	jWl
1253	joy	3	15	jY
1254	judge	5	9	j^j
1255	jug	3	18	j^g
1256	juice	5	7	jUs
1257	juke	4	12	jUk
1258	jump	4	13	j^mp
1259	june	4	12	jUn
1260	junk	4	15	j^Nk
1261	just	4	15	j^st
1262	jut	3	18	j^t
1263	jute	4	12	jUt
1264	kale	4	16	kAl
1265	keel	4	13	kEl
1266	keen	4	12	kEn
1267	keep	4	16	kEp
1268	keg	3	14	keg
1269	kelp	4	10	kelp
1270	ken	3	18	ken
1271	kept	4	8	kept
1272	key	3	10	kE
1273	kick	4	15	kik
1274	kid	3	15	kid
1275	kill	4	18	kil
1276	kilt	4	15	kilt
1277	kin	3	19	kin
1278	kind	4	13	kInd
1279	king	4	13	kiN
1280	kiss	4	10	kis
1281	kit	3	18	kit
1282	kite	4	12	kIt
1283	klan	4	9	kl@n
1284	knack	5	9	n@k
1285	knead	5	7	nEd
1286	knee	4	8	nE
1287	kneel	5	7	nEl
1288	knelt	5	7	nelt
1289	knew	4	9	nU
1290	knife	5	7	nIf
1291	knight	6	7	nIt
1292	knit	4	8	nit
1293	knob	4	10	nab
1294	knock	5	8	nak
1295	knoll	5	7	nOl
1296	knot	4	10	nat
1297	know	4	11	nO
1298	known	5	7	nOn
1299	lab	3	19	l@b
1300	lace	4	18	lAs
1301	lack	4	19	l@k
1302	lad	3	25	l@d
1303	lag	3	25	l@g
1304	laid	4	14	lAd
1305	lain	4	15	lAn
1306	lake	4	21	lAk
1307	lamb	4	10	l@m
1308	lame	4	22	lAm
1309	lamp	4	16	l@mp
1310	lance	5	8	l@ns
1311	land	4	15	l@nd
1312	lane	4	22	lAn
1313	lap	3	23	l@p
1314	laps	4	10	l@ps
1315	lapse	5	7	l@ps
1316	lard	4	16	lard
1317	large	5	8	larj
1318	lark	4	15	lark
1319	lash	4	20	l@S
1320	lass	4	15	l@s
1321	last	4	19	l@st
1322	latch	5	14	l@C
1323	late	4	22	lAt
1324	lath	4	14	l@T
1325	lathe	5	9	lAD
1326	laugh	5	7	l@f
1327	launch	6	8	lonC
1328	law	3	22	lo
1329	lawn	4	12	lon
1330	lax	3	18	l@ks
1331	lay	3	25	lA
1332	lays	4	14	lAz
1333	laze	4	18	lAz
1334	leach	5	13	lEC
1335	leaf	4	13	lEf
1336	leak	4	16	lEk
1337	lean	4	17	lEn
1338	leap	4	13	lEp
1339	leapt	5	8	lept
1340	lear	4	23	lEr
1341	learn	5	8	lurn
1342	lease	5	12	lEs
1343	leash	5	10	lES
1344	least	5	13	lEst
1345	leave	5	10	lEv
1346	led	3	17	led
1347	ledge	5	10	lej
1348	lee	3	19	lE
1349	leek	4	15	lEk
1350	leer	4	14	lEr
1351	left	4	12	left
1352	leg	3	16	leg
1353	lend	4	18	lend
1354	length	6	7	leNT
1355	lens	4	10	lenz
1356	lent	4	21	lent
1357	less	4	12	les
1358	lest	4	23	lest
1359	let	3	23	let
1360	letch	5	11	leC
1361	lewd	4	8	lUd
1362	lice	4	18	lIs
1363	lick	4	20	lik
1364	lid	3	19	lid
1365	lie	3	17	lI
1366	lied	4	10	lId
1367	lien	4	8	lEn
1368	life	4	14	lIf
1369	lift	4	16	lift
1370	light	5	14	lIt
1371	like	4	17	lIk
1372	lilt	4	17	lilt
1373	limb	4	10	lim
1374	lime	4	18	lIm
1375	limp	4	12	limp
1376	line	4	23	lIn
1377	link	4	16	liNk
1378	lint	4	18	lint
1379	lip	3	22	lip
1380	lisle	5	8	lIl
1381	list	4	17	list
1382	lit	3	21	lit
1383	lithe	5	8	lID
1384	load	4	14	lOd
1385	loaf	4	10	lOf
1386	loan	4	13	lOn
1387	loath	5	7	lOT
1388	lob	3	20	lab
1389	lobe	4	14	lOb
1390	lock	4	17	lak
1391	lode	4	17	lOd
1392	lodge	5	9	laj
1393	loft	4	12	loft
1394	log	3	21	log
1395	loin	4	12	lYn
1396	lone	4	24	lOn
1397	long	4	13	loN
1398	look	4	18	luk
1399	loom	4	14	lUm
1400	loon	4	18	lUn
1401	loop	4	13	lUp
1402	loose	5	11	lUs
1403	loot	4	20	lUt
1404	lop	3	25	lap
1405	lope	4	20	lOp
1406	lord	4	15	lOrd
1407	lore	4	25	lOr
1408	lose	4	20	lUz
1409	loss	4	14	los
1410	lost	4	20	lost
1411	lot	3	25	lat
1412	loud	4	9	lWd
1413	lounge	6	7	lonj
1414	loupe	5	9	lUp
1415	louse	5	13	lWs
1416	love	4	17	l^v
1417	low	3	21	lO
1418	lox	3	17	laks
1419	luck	4	19	l^k
1420	lug	3	17	l^g
1421	lull	4	15	l^l
1422	lump	4	15	l^mp
1423	lunch	5	13	l^nC
1424	lung	4	12	l^N
1425	lurch	5	8	lurC
1426	lure	4	13	lUr
1427	lurk	4	10	lurk
1428	lush	4	15	l^S
1429	lust	4	19	l^st
1430	lute	4	12	lUt
1431	lye	3	11	lI
1432	lymph	5	8	limf
1433	lynch	5	8	linC
1434	mace	4	19	mAs
1435	mad	3	25	m@d
1436	made	4	19	mAd
1437	maid	4	14	mAd
1438	mail	4	22	mAl
1439	maim	4	10	mAm
1440	main	4	15	mAn
1441	make	4	23	mAk
1442	makes	5	8	mAks
1443	male	4	28	mAl
1444	mall	4	20	mol
1445	malt	4	14	molt
1446	man	3	25	m@n
1447	mane	4	22	mAn
1448	manse	5	7	m@ns
1449	map	3	22	m@p
1450	mar	3	22	mar
1451	march	5	9	marC
1452	mare	4	26	mAr
1453	mark	4	15	mark
1454	marsh	5	9	marS
1455	mart	4	17	mart
1456	mash	4	22	m@S
1457	mask	4	15	m@sk
1458	mass	4	16	m@s
1459	mast	4	21	m@st
1460	mat	3	27	m@t
1461	match	5	14	m@C
1462	mate	4	25	mAt
1463	math	4	16	m@T
1464	mauve	5	8	mOv
1465	maw	3	24	mo
1466	max	3	19	m@ks
1467	may	3	26	mA
1468	maze	4	20	mAz
1469	me	2	14	mE
1470	mead	4	15	mEd
1471	meal	4	17	mEl
1472	mean	4	16	mEn
1473	meant	5	7	ment
1474	meat	4	19	mEt
1475	meek	4	14	mEk
1476	meet	4	12	mEt
1477	meld	4	14	meld
1478	melt	4	15	melt
1479	men	3	19	men
1480	mend	4	17	mend
1481	mere	4	11	mEr
1482	merge	5	9	murj
1483	mesh	4	10	meS
1484	mess	4	13	mes
1485	met	3	21	met
1486	mew	3	18	myU
1487	mice	4	18	mIs
1488	mid	3	18	mid
1489	midst	5	7	midst
1490	mig	3	19	mig
1491	might	5	14	mIt
1492	mike	4	18	mIk
1493	mil	3	13	mil
1494	mild	4	14	mIld
1495	mile	4	24	mIl
1496	milk	4	12	milk
1497	mill	4	22	mil
1498	mime	4	16	mIm
1499	mince	5	8	mins
1500	mind	4	17	mInd
1501	mine	4	24	mIn
1502	mink	4	18	miNk
1503	mint	4	17	mint
1504	mirth	5	9	murT
1505	miss	4	15	mis
1506	mist	4	16	mist
1507	mite	4	20	mIt
1508	mitt	4	10	mit
1509	mix	3	15	miks
1510	moan	4	12	mOn
1511	moat	4	14	mOt
1512	mob	3	19	mab
1513	mock	4	16	mak
1514	mode	4	16	mOd
1515	moist	5	9	mYst
1516	mold	4	19	mOld
1517	mole	4	22	mOl
1518	moll	4	15	mal
1519	mom	3	14	mam
1520	monk	4	10	m^Nk
1521	month	5	8	m^nT
1522	moo	3	15	mU
1523	mood	4	14	mUd
1524	moon	4	16	mUn
1525	moose	5	11	mUs
1526	moot	4	18	mUt
1527	mop	3	21	map
1528	mope	4	18	mOp
1529	more	4	24	mOr
1530	morn	4	16	mOrn
1531	mosk	4	12	mask
1532	moss	4	16	mos
1533	most	4	19	mOst
1534	moth	4	10	moT
1535	mould	5	9	mOld
1536	mount	5	8	mWnt
1537	mourn	5	7	mOrn
1538	mouse	5	12	mWs
1539	mouth	5	10	mWT
1540	move	4	15	mUv
1541	mow	3	21	mO
1542	much	4	11	m^C
1543	muck	4	17	m^k
1544	mud	3	15	m^d
1545	muff	4	11	m^f
1546	mug	3	17	m^g
1547	mulch	5	8	m^lC
1548	mule	4	13	myUl
1549	mum	3	15	m^m
1550	munch	5	12	m^nC
1551	muse	4	14	myUs
1552	mush	4	19	m^S
1553	muss	4	16	m^s
1554	must	4	20	m^st
1555	mute	4	14	myUt
1556	myth	4	9	miT
1557	nab	3	15	n@b
1558	nail	4	18	nAl
1559	name	4	15	nAm
1560	nap	3	18	n@p
1561	nape	4	14	nAp
1562	naught	6	9	not
1563	naw	3	20	no
1564	nay	3	22	nA
1565	near	4	19	nEr
1566	neat	4	17	nEt
1567	neck	4	12	nek
1568	need	4	13	nEd
1569	needs	5	8	nEdz
1570	nerve	5	9	nurv
1571	nest	4	19	nest
1572	net	3	20	net
1573	new	3	16	nU
1574	news	4	8	nUz
1575	newt	4	11	nUt
1576	next	4	11	nekst
1577	nice	4	14	nIs
1578	niche	5	8	nES
1579	nick	4	17	nik
1580	nicks	5	7	niks
1581	niece	5	8	nEs
1582	nigh	4	9	nI
1583	night	5	14	nIt
1584	nil	3	12	nil
1585	nine	4	17	nIn
1586	ninth	5	7	nInT
1587	nip	3	18	nip
1588	nix	3	12	niks
1589	no	2	11	nO
1590	nod	3	16	nad
1591	node	4	16	nOd
1592	noise	5	9	nYz
1593	non	3	17	nan
1594	nonce	5	7	nans
1595	none	4	20	n^n
1596	nook	4	14	nuk
1597	noon	4	14	nUn
1598	noose	5	11	nUs
1599	nope	4	19	nOp
1600	nor	3	12	nOr
1601	norm	4	10	nOrm
1602	north	5	9	nOrT
1603	nose	4	16	nOz
1604	not	3	22	nat
1605	notch	5	7	naC
1606	note	4	13	nOt
1607	noun	4	8	nWn
1608	now	3	21	nW
1609	nude	4	9	nUd
1610	nudge	5	9	n^j
1611	null	4	15	n^l
1612	numb	4	8	n^m
1613	nun	3	16	n^n
1614	nurse	5	9	nurs
1615	nut	3	18	n^t
1616	nymph	5	8	nimf
1617	oak	3	9	Ok
1618	oat	3	19	Ot
1619	oath	4	12	OT
1620	odd	3	9	ad
1621	off	3	8	of
1622	oft	3	11	oft
1623	oil	3	11	Yl
1624	old	3	9	Old
1625	ole	3	11	Ol
1626	once	4	7	w^ns
1627	one	3	9	w^n
1628	oops	4	8	Ups
1629	ooze	4	7	Uz
1630	orb	3	8	Orb
1631	ore	3	12	Or
1632	ouch	4	9	WC
1633	ought	5	7	ot
1634	ounce	5	7	Wns
1635	our	3	10	Wr
1636	oust	4	14	Wst
1637	out	3	18	Wt
1638	owl	3	9	Wl
1639	own	3	9	On
1640	pace	4	19	pAs
1641	pack	4	20	p@k
1642	pact	4	14	p@kt
1643	pad	3	26	p@d
1644	page	4	18	pAj
1645	paid	4	14	pAd
1646	pail	4	22	pAl
1647	pain	4	16	pAn
1648	paint	5	12	pAnt
1649	pair	4	12	pAr
1650	pal	3	18	p@l
1651	pale	4	26	pAl
1652	pall	4	21	pol
1653	palm	4	10	pam
1654	pan	3	27	p@n
1655	pane	4	23	pAn
1656	pang	4	18	p@N
1657	pant	4	17	p@nt
1658	pants	5	7	p@nts
1659	pap	3	24	p@p
1660	par	3	23	par
1661	pare	4	26	pAr
1662	park	4	17	park
1663	part	4	20	part
1664	pass	4	11	p@s
1665	past	4	19	p@st
1666	paste	5	12	pAst
1667	pat	3	27	p@t
1668	patch	5	14	p@C
1669	pate	4	22	pAt
1670	path	4	14	p@T
1671	paunch	6	8	ponC
1672	pause	5	8	poz
1673	pave	4	20	pAv
1674	paw	3	23	po
1675	pawn	4	12	pon
1676	pay	3	27	pA
1677	pea	3	16	pE
1678	peace	5	9	pEs
1679	peach	5	14	pEC
1680	peak	4	18	pEk
1681	peal	4	19	pEl
1682	pear	4	23	pAr
1683	pearl	5	7	purl
1684	peat	4	19	pEt
1685	peck	4	17	pek
1686	pee	3	21	pE
1687	peek	4	19	pEk
1688	peel	4	15	pEl
1689	peep	4	17	pEp
1690	peer	4	17	pEr
1691	peg	3	20	peg
1692	pelt	4	14	pelt
1693	pen	3	24	pen
1694	per	3	15	pur
1695	perch	5	9	purC
1696	perk	4	14	purk
1697	pert	4	13	purt
1698	pest	4	21	pest
1699	pet	3	27	pet
1700	pew	3	20	pyU
1701	phage	5	8	fAj
1702	phase	5	9	fAz
1703	phone	5	9	fOn
1704	phrase	6	7	frAz
1705	pick	4	19	pik
1706	pie	3	16	pI
1707	piece	5	8	pEs
1708	pier	4	9	pEr
1709	pierce	6	8	pErs
1710	pig	3	20	pig
1711	pike	4	17	pIk
1712	pile	4	19	pIl
1713	pill	4	21	pil
1714	pimp	4	10	pimp
1715	pin	3	22	pin
1716	pinch	5	10	pinC
1717	pine	4	21	pIn
1718	pink	4	17	piNk
1719	pint	4	16	pInt
1720	pip	3	24	pip
1721	pipe	4	13	pIp
1722	piss	4	11	pis
1723	pit	3	24	pit
1724	pitch	5	13	piC
1725	pith	4	9	piT
1726	place	5	10	plAs
1727	plaid	5	8	pl@d
1728	plain	5	9	plAn
1729	plan	4	11	pl@n
1730	plane	5	11	plAn
1731	plank	5	12	pl@Nk
1732	plant	5	10	pl@nt
1733	plate	5	10	plAt
1734	play	4	11	plA
1735	plea	4	8	plE
1736	plead	5	8	plEd
1737	please	6	7	plEz
1738	pleat	5	10	plEt
1739	pledge	6	7	plej
1740	plight	6	10	plIt
1741	plod	4	11	plad
1742	plot	4	12	plat
1743	plough	6	8	plW
1744	plow	4	14	plW
1745	pluck	5	8	pl^k
1746	plug	4	10	pl^g
1747	plum	4	11	pl^m
1748	plumb	5	9	pl^m
1749	plume	5	9	plUm
1750	plump	5	11	pl^mp
1751	plunge	6	7	pl^nj
1752	plus	4	9	pl^s
1753	plush	5	9	pl^S
1754	poach	5	12	pOC
1755	pod	3	15	pad
1756	point	5	10	pYnt
1757	poise	5	8	pYz
1758	poke	4	17	pOk
1759	pole	4	20	pOl
1760	poll	4	16	pOl
1761	pomp	4	10	pamp
1762	pond	4	10	pand
1763	pons	4	8	panz
1764	pool	4	13	pUl
1765	poor	4	10	pOr
1766	pop	3	20	pap
1767	pope	4	19	pOp
1768	porch	5	11	pOrC
1769	pore	4	27	pOr
1770	pork	4	17	pOrk
1771	porn	4	16	pOrn
1772	port	4	16	pOrt
1773	pose	4	18	pOz
1774	posh	4	11	paS
1775	post	4	18	pOst
1776	pot	3	24	pat
1777	pouch	5	12	pWC
1778	pound	5	12	pWnd
1779	pour	4	15	pOr
1780	pout	4	14	pWt
1781	praise	6	7	prAz
1782	pram	4	12	pr@m
1783	prank	5	11	pr@Nk
1784	pray	4	13	prA
1785	preach	6	8	prEC
1786	prep	4	10	prep
1787	press	5	8	pres
1788	prey	4	10	prA
1789	price	5	11	prIs
1790	prick	5	10	prik
1791	pride	5	11	prId
1792	pried	5	10	prId
1793	priest	6	7	prEst
1794	prim	4	11	prim
1795	prime	5	12	prIm
1796	prince	6	7	prins
1797	print	5	9	print
1798	prize	5	10	prIz
1799	pro	3	11	prO
1800	probe	5	10	prOb
1801	prod	4	10	prad
1802	prompt	6	7	prampt
1803	prone	5	14	prOn
1804	proof	5	7	prUf
1805	prop	4	12	prap
1806	prose	5	10	prOz
1807	proud	5	7	prWd
1808	prove	5	12	prUv
1809	prow	4	13	prW
1810	prowl	5	8	prWl
1811	prune	5	8	prUn
1812	pry	3	14	prI
1813	psalm	5	7	sam
1814	pub	3	17	p^b
1815	puck	4	19	p^k
1816	puff	4	11	p^f
1817	puke	4	12	pyUk
1818	pull	4	19	pul
1819	pulp	4	10	p^lp
1820	pulse	5	8	p^ls
1821	pump	4	16	p^mp
1822	pun	3	21	p^n
1823	punch	5	12	p^nC
1824	punk	4	17	p^Nk
1825	punt	4	15	p^nt
1826	pup	3	17	p^p
1827	pure	4	14	pyur
1828	purge	5	9	purj
1829	purse	5	11	purs
1830	pus	3	13	p^s
1831	push	4	14	puS
1832	put	3	23	put
1833	putt	4	9	p^t
1834	pyre	4	10	pIr
1835	quack	5	8	kw@k
1836	quail	5	7	kwAl
1837	quaint	6	7	kwAnt
1838	quake	5	7	kwAk
1839	qualms	6	7	kwalmz
1840	quart	5	7	kwOrt
1841	quartz	6	7	kwOrts
1842	quay	4	7	kwA
1843	queen	5	8	kwEn
1844	queer	5	8	kwEr
1845	quell	5	8	kwel
1846	quench	6	7	kwenC
1847	quest	5	8	kwest
1848	queue	5	7	kyU
1849	quick	5	9	kwik
1850	quill	5	9	kwil
1851	quilt	5	10	kwilt
1852	quince	6	7	kwins
1853	quirk	5	8	kwurk
1854	quit	4	9	kwit
1855	quite	5	9	kwIt
1856	quiz	4	8	kwiz
1857	quo	3	8	kwO
1858	quote	5	8	kwOt
1859	race	4	20	rAs
1860	rack	4	17	r@k
1861	raft	4	10	r@ft
1862	rag	3	23	r@g
1863	rage	4	19	rAj
1864	raid	4	13	rAd
1865	rail	4	20	rAl
1866	rain	4	15	rAn
1867	raise	5	7	rAz
1868	rake	4	22	rAk
1869	ram	3	20	r@m
1870	ramp	4	15	r@mp
1871	ran	3	22	r@n
1872	ranch	5	7	r@nC
1873	rang	4	20	r@N
1874	range	5	7	rAnj
1875	rank	4	17	r@Nk
1876	rant	4	16	r@nt
1877	rap	3	23	r@p
1878	rape	4	22	rAp
1879	rapt	4	10	r@pt
1880	rare	4	22	rAr
1881	rash	4	18	r@S
1882	rasp	4	12	r@sp
1883	rat	3	25	r@t
1884	rate	4	23	rAt
1885	rave	4	22	rAv
1886	raw	3	21	ro
1887	ray	3	25	rA
1888	rays	4	12	rAz
1889	raze	4	20	rAz
1890	reach	5	13	rEC
1891	real	4	18	rEl
1892	realm	5	7	relm
1893	ream	4	14	rEm
1894	reap	4	12	rEp
1895	rear	4	22	rEr
1896	red	3	17	red
1897	reed	4	17	rEd
1898	reef	4	11	rEf
1899	reek	4	16	rEk
1900	reel	4	15	rEl
1901	ref	3	12	ref
1902	reign	5	7	rAn
1903	rein	4	9	rAn
1904	rend	4	17	rend
1905	rent	4	20	rent
1906	rest	4	18	rest
1907	retch	5	10	reC
1908	rev	3	9	rev
1909	rheum	5	7	rUm
1910	rhyme	5	7	rIm
1911	rib	3	13	rib
1912	rice	4	20	rIs
1913	rich	4	8	riC
1914	ride	4	21	rId
1915	ridge	5	7	rij
1916	rift	4	11	rift
1917	rig	3	20	rig
1918	right	5	14	rIt
1919	rile	4	21	rIl
1920	rim	3	15	rim
1921	rime	4	18	rIm
1922	rind	4	15	rInd
1923	ring	4	16	riN
1924	rink	4	17	riNk
1925	rinse	5	7	rins
1926	rip	3	19	rip
1927	ripe	4	17	rIp
1928	rise	4	18	rIz
1929	risk	4	10	risk
1930	rite	4	19	rIt
1931	roach	5	10	rOC
1932	road	4	12	rOd
1933	roam	4	12	rOm
1934	roar	4	11	rOr
1935	roast	5	11	rOst
1936	rob	3	19	rab
1937	robe	4	14	rOb
1938	rock	4	15	rak
1939	rod	3	16	rad
1940	rode	4	19	rOd
1941	roe	3	17	rO
1942	role	4	22	rOl
1943	roll	4	12	rOl
1944	rolled	6	7	rOld
1945	rome	4	20	rOm
1946	romp	4	11	ramp
1947	roof	4	11	rUf
1948	rook	4	17	ruk
1949	room	4	14	rUm
1950	roost	5	9	rUst
1951	root	4	18	rUt
1952	rope	4	22	rOp
1953	rose	4	20	rOz
1954	rot	3	21	rat
1955	rouge	5	10	rUZ
1956	rough	5	12	r^f
1957	round	5	12	rWnd
1958	rouse	5	12	rWz
1959	rout	4	12	rWt
1960	rove	4	18	rOv
1961	rub	3	20	r^b
1962	rude	4	12	rUd
1963	rue	3	19	rU
1964	rug	3	21	r^g
1965	rule	4	12	rUl
1966	rum	3	19	r^m
1967	rump	4	15	r^mp
1968	run	3	20	r^n
1969	rung	4	14	r^N
1970	runt	4	15	r^nt
1971	ruse	4	15	rUs
1972	rush	4	16	r^S
1973	rust	4	18	r^st
1974	rut	3	24	r^t
1975	rye	3	13	rI
1976	sack	4	18	s@k
1977	sad	3	23	s@d
1978	safe	4	13	sAf
1979	sag	3	21	s@g
1980	sage	4	18	sAj
1981	said	4	15	sed
1982	sail	4	19	sAl
1983	saint	5	11	sAnt
1984	sake	4	21	sAk
1985	sale	4	24	sAl
1986	salt	4	11	solt
1987	salve	5	12	s@v
1988	same	4	21	sAm
1989	sand	4	16	s@nd
1990	sane	4	24	sAn
1991	sang	4	22	s@N
1992	sank	4	19	s@Nk
1993	sap	3	26	s@p
1994	sash	4	16	s@S
1995	sat	3	24	s@t
1996	sauce	5	8	sos
1997	sauve	5	10	sOv
1998	save	4	20	sAv
1999	saw	3	22	so
2000	sax	3	20	s@ks
2001	say	3	30	sA
2002	says	4	12	sez
2003	scald	5	10	skold
2004	scale	5	11	skAl
2005	scalp	5	9	sk@lp
2006	scan	4	12	sk@n
2007	scant	5	9	sk@nt
2008	scar	4	10	skar
2009	scarce	6	7	skArs
2010	scare	5	14	skAr
2011	scarf	5	8	skarf
2012	scene	5	9	sEn
2013	scent	5	10	sent
2014	scheme	6	7	skEm
2015	schnook	7	7	Snuk
2016	school	6	7	skUl
2017	scold	5	8	skOld
2018	scone	5	12	skOn
2019	scoop	5	11	skUp
2020	scope	5	10	skOp
2021	score	5	14	skOr
2022	scorn	5	9	skOrn
2023	scotch	6	7	skaC
2024	scour	5	8	skWr
2025	scourge	7	7	skurj
2026	scout	5	12	skWt
2027	scrap	5	8	skr@p
2028	scrape	6	7	skrAp
2029	scratch	7	7	skr@C
2030	scream	6	8	skrEm
2031	screech	7	7	skrEC
2032	screen	6	7	skrEn
2033	screw	5	7	skrU
2034	scribe	6	7	skrIb
2035	scrim	5	7	skrim
2036	script	6	7	skript
2037	scroll	6	8	skrOl
2038	scrub	5	8	skr^b
2039	scuff	5	9	sk^f
2040	sea	3	15	sE
2041	seal	4	18	sEl
2042	seam	4	17	sEm
2043	sear	4	23	sEr
2044	search	6	8	surC
2045	seat	4	21	sEt
2046	sect	4	9	sekt
2047	see	3	20	sE
2048	seed	4	20	sEd
2049	seeds	5	8	sEdz
2050	seek	4	17	sEk
2051	seem	4	14	sEm
2052	seen	4	15	sEn
2053	seep	4	18	sEp
2054	seize	5	7	sEz
2055	self	4	9	self
2056	sell	4	19	sel
2057	send	4	17	send
2058	sense	5	9	sens
2059	sent	4	19	sent
2060	serf	4	9	surf
2061	serge	5	11	surj
2062	serve	5	10	surv
2063	set	3	24	set
2064	sew	3	19	sO
2065	sewn	4	9	sOn
2066	sex	3	16	seks
2067	shack	5	16	S@k
2068	shade	5	13	SAd
2069	shaft	5	8	S@ft
2070	shag	4	12	S@g
2071	shah	4	10	Sa
2072	shake	5	14	SAk
2073	shall	5	12	S@l
2074	sham	4	14	S@m
2075	shame	5	12	SAm
2076	shank	5	13	S@Nk
2077	shape	5	12	SAp
2078	shard	5	10	Sard
2079	share	5	20	SAr
2080	shark	5	14	Sark
2081	sharp	5	10	Sarp
2082	shave	5	16	SAv
2083	shawl	5	8	Sol
2084	shay	4	13	SA
2085	she	3	14	SE
