item	word	wl	OrthN	phonetic
250	bruise	6	8	brUz
251	brunt	5	9	br^nt
252	brush	5	10	br^S
253	brute	5	7	brUt
254	buck	4	19	b^k
255	bud	3	19	b^d
256	budge	5	11	b^j
257	buff	4	11	b^f
258	bug	3	24	b^g
259	build	5	9	bild
260	built	5	10	bilt
261	bulb	4	10	b^lb
262	bulge	5	9	b^lj
263	bulk	4	14	b^lk
264	bull	4	21	bul
265	bum	3	20	b^m
266	bump	4	13	b^mp
267	bun	3	22	b^n
268	bunch	5	12	b^nC
269	bunk	4	18	b^Nk
270	bunt	4	15	b^nt
271	burl	4	12	burl
272	burn	4	12	burn
273	burnt	5	8	burnt
274	burr	4	9	bur
275	burst	5	8	burst
276	bus	3	16	b^s
277	bush	4	16	buS
278	buss	4	12	b^s
279	bust	4	19	b^st
280	but	3	26	b^t
281	butt	4	10	b^t
282	butte	5	7	byUt
283	buy	3	16	bI
284	buzz	4	8	b^z
285	by	2	7	bI
286	bye	3	10	bI
287	cab	3	19	k@b
288	cache	5	7	k@S
289	cad	3	24	k@d
290	cage	4	19	kAj
291	cake	4	23	kAk
292	calf	4	10	k@f
293	call	4	19	kol
294	calm	4	10	kam
295	calve	5	11	k@v
296	cam	3	18	k@m
297	came	4	23	kAm
298	camp	4	13	k@mp
299	can	3	23	k@n
300	cane	4	23	kAn
301	cant	4	14	k@nt
302	cap	3	23	k@p
303	cape	4	20	kAp
304	car	3	22	kar
305	card	4	16	kard
306	care	4	26	kAr
307	cart	4	18	kart
308	carve	5	9	karv
309	case	4	20	kAs
310	cash	4	19	k@S
311	cask	4	13	k@sk
312	cast	4	20	k@st
313	caste	5	12	k@st
314	cat	3	24	k@t
315	catch	5	13	k@C
316	caught	6	9	kot
317	cause	5	8	koz
318	cave	4	22	kAv
319	cease	5	10	sEs
320	cell	4	18	sel
321	cent	4	17	sent
322	chafe	5	8	CAf
323	chain	5	8	CAn
324	chair	5	9	CAr
325	chaise	6	7	CAz
326	chalk	5	7	Cok
327	champ	5	11	C@mp
328	chance	6	8	C@ns
329	change	6	9	CAnj
330	chant	5	8	C@nt
331	chap	4	14	C@p
332	char	4	11	Car
333	charge	6	8	Carj
334	charm	5	8	Carm
335	chart	5	9	Cart
336	chase	5	11	CAs
337	chaste	6	7	CAst
338	chat	4	13	C@t
339	chaw	4	14	Co
340	cheap	5	9	CEp
341	cheat	5	11	CEt
342	check	5	10	Cek
343	cheek	5	11	CEk
344	cheep	5	12	CEp
345	cheer	5	10	CEr
346	cheese	6	7	CEz
347	chef	4	8	Sef
348	chess	5	8	Ces
349	chest	5	10	Cest
350	chew	4	12	CU
351	chic	4	10	SEk
352	chick	5	11	Cik
353	chide	5	9	CId
354	chief	5	8	CEf
355	child	5	8	CIld
356	chill	5	9	Cil
357	chime	5	10	CIm
358	chin	4	12	Cin
359	chip	4	14	Cip
360	chive	5	9	CIv
361	choice	6	7	CYs
362	choir	5	8	kwIr
363	choke	5	9	COk
364	chomp	5	9	Camp
365	choose	6	7	CUz
366	chop	4	14	Cap
367	chord	5	8	kOrd
368	chore	5	12	COr
369	chose	5	13	COz
370	chow	4	12	CW
371	christ	6	7	krIst
372	chrome	6	7	krOm
373	chuck	5	12	C^k
374	chum	4	7	C^m
375	chump	5	11	C^mp
376	chunk	5	8	C^Nk
377	church	6	7	CurC
378	churn	5	7	Curn
379	chute	5	7	SUt
380	cinch	5	8	sinC
381	cite	4	13	sIt
382	clad	4	14	kl@d
383	claim	5	7	klAm
384	clam	4	14	kl@m
385	clamp	5	10	kl@mp
386	clan	4	14	kl@n
387	clang	5	10	kl@N
388	clap	4	17	kl@p
389	clash	5	11	kl@S
390	class	5	10	kl@s
391	clause	6	7	kloz
392	claw	4	14	klo
393	clay	4	14	klA
394	clean	5	10	klEn
395	clear	5	9	klEr
396	cleat	5	13	klEt
397	cleft	5	8	kleft
398	clench	6	8	klenC
399	clerk	5	7	klurk
400	click	5	13	klik
401	cliff	5	7	klif
402	climb	5	7	klIm
403	clinch	6	8	klinC
404	cling	5	12	kliN
405	clink	5	10	kliNk
406	clip	4	13	klip
407	cloak	5	9	klOk
408	clock	5	13	klak
409	clod	4	12	klad
410	clog	4	11	klog
411	clone	5	10	klOn
412	clop	4	17	klap
413	close	5	10	klOs
414	clot	4	13	klat
415	cloth	5	8	kloT
416	clothe	6	7	klOD
417	clots	5	8	klats
418	cloud	5	8	klWd
419	clout	5	8	klWt
420	clove	5	10	klOv
421	clown	5	10	klWn
422	club	4	8	kl^b
423	cluck	5	11	kl^k
424	clue	4	10	klU
425	clump	5	11	kl^mp
426	clung	5	11	kl^N
427	clutch	6	8	kl^C
428	coach	5	10	kOC
429	coal	4	14	kOl
430	coarse	6	9	kOrs
431	coast	5	10	kOst
432	coat	4	15	kOt
433	coax	4	9	kOks
434	cock	4	15	kak
435	cod	3	20	kad
436	code	4	18	kOd
437	coil	4	14	kYl
438	coin	4	12	kYn
439	coke	4	19	kOk
440	cold	4	17	kOld
441	cole	4	22	kOl
442	colt	4	15	kOlt
443	comb	4	11	kOm
444	come	4	21	k^m
445	con	3	20	kan
446	cone	4	23	kOn
447	cook	4	17	kuk
448	cool	4	16	kUl
449	coop	4	15	kUp
450	cop	3	24	kap
451	cope	4	22	kOp
